time	count
7441432.00	0.25
7441435.00	0.00
7441498.00	0.25
7441501.00	0.00
7441570.00	0.25
7441573.00	0.00
7441636.00	0.25
7441638.00	0.00
7441707.00	0.25
7441714.00	0.00
7441773.00	0.25
7441776.00	0.00
7441840.00	0.25
7441843.00	0.00
7441910.00	0.25
7441913.00	0.00
7441984.00	0.25
7441987.00	0.00
7442054.00	0.25
7442057.00	0.00
7442131.00	0.25
7442139.00	0.00
7442708.00	0.25
7442712.00	0.00
7442820.00	0.25
7442843.00	0.00
7442870.00	0.25
7442874.00	0.00
7442937.00	0.25
7442940.00	0.00
7443012.00	0.25
7443016.00	0.00
7443083.00	0.25
7443086.00	0.00
7443154.00	0.25
7443162.00	0.00
7443223.00	0.25
7443227.00	0.00
7443291.00	0.25
7443294.00	0.00
7443362.00	0.25
7443365.00	0.00
7443430.00	0.25
7443434.00	0.00
7443499.00	0.25
7443506.00	0.00
7443567.00	0.25
7443570.00	0.00
7443635.00	0.25
7443638.00	0.00
7443703.00	0.25
7443706.00	0.00
7443772.00	0.25
7443774.00	0.00
7443849.00	0.25
7443852.00	0.00
7444422.00	0.25
7444429.00	0.00
7444508.00	0.25
7444511.00	0.00
7444579.00	0.25
7444582.00	0.00
7444646.00	0.25
7444649.00	0.00
7444716.00	0.25
7444719.00	0.00
7444787.00	0.25
7444794.00	0.00
7444856.00	0.25
7444859.00	0.00
7444925.00	0.25
7444928.00	0.00
7445004.00	0.25
7445007.00	0.00
7445071.00	0.25
7445074.00	0.00
7445142.00	0.25
7445149.00	0.00
7445213.00	0.25
7445216.00	0.00
7445279.00	0.25
7445282.00	0.00
7445350.00	0.25
7445353.00	0.00
7445416.00	0.25
7445420.00	0.00
7445490.00	0.25
7445493.00	0.00
7445565.00	0.25
7445572.00	0.00
7446135.00	0.25
7446139.00	0.00
7446220.00	0.25
7446223.00	0.00
7446294.00	0.25
7446297.00	0.00
7446369.00	0.25
7446372.00	0.00
7446438.00	0.25
7446445.00	0.00
7446507.00	0.25
7446510.00	0.00
7446577.00	0.25
7446581.00	0.00
7446644.00	0.25
7446647.00	0.00
7446713.00	0.25
7446716.00	0.00
7446781.00	0.25
7446788.00	0.00
7446851.00	0.25
7446854.00	0.00
7446919.00	0.25
7446922.00	0.00
7446995.00	0.25
7446998.00	0.00
7447064.00	0.25
7447067.00	0.00
7447134.00	0.25
7447137.00	0.00
7447202.00	0.25
7447209.00	0.00
7447279.00	0.25
7447283.00	0.00
7447856.00	0.25
7447860.00	0.00
7447977.00	0.25
7447993.00	0.00
7448041.00	0.25
7448052.00	0.00
7448094.00	0.25
7448097.00	0.00
7448162.00	0.25
7448164.00	0.00
7448232.00	0.25
