level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5041442	5041656	#00ff3c	1.0	Deferred Enqueue Task	1					6905
2	5041904	5042585	#be00ff	1.0	Scheduler	0					6907
2	5042683	5043611	#ff1100	1.0	Task Physical Dependence Analysis	1					6908
2	5064188	5064583	#ff9800	1.0	Logical Dependence Analysis	3					68186
2	5064689	5064763	#333399	1.0	Deferred Ready Trigger	3					6910
2	5064820	5065110	#ff9800	1.0	Logical Dependence Analysis	4					68187
2	5065216	5066325	#ff2300	1.0	Operation Physical Dependence Analysis	3					71633
1	5065281	5065584	#8e00ff	1.0	Mapper Call slice_task						48331
2	5066401	5066511	#be00ff	1.0	Scheduler	0					6911
2	5066578	5066666	#be00ff	1.0	Scheduler	0					6912
2	5066731	5066805	#be00ff	1.0	Scheduler	0					6913
2	5066878	5066962	#be00ff	1.0	Scheduler	0					6914
2	5067032	5067300	#ff9800	1.0	Logical Dependence Analysis	5					68188
2	5067370	5438484	#ff1100	1.0	Task Physical Dependence Analysis	7					54779
1	5102945	5103286	#ff00b9	1.0	Mapper Call map_task for 11	11					48332
2	5438568	5808600	#ff1100	1.0	Task Physical Dependence Analysis	8					54780
2	5808670	6180988	#ff1100	1.0	Task Physical Dependence Analysis	9					54781
2	6181084	6555384	#ff1100	1.0	Task Physical Dependence Analysis	10					6916
1	6217294	6217395	#ff00b9	1.0	Mapper Call map_task for 7511	7511					48333
2	6555454	6555548	#333399	1.0	Deferred Ready Trigger	4					6917
2	6555610	6555724	#be00ff	1.0	Scheduler	0					68189
2	6555789	6556425	#006600	1.0	Post-Task Execution	11					71634
2	6556501	6556612	#ca00ff	1.0	Deferred Post-Task Execution	11					6919
2	6556674	6556695	#ca00ff	1.0	Deferred Post-Task Execution	12					6921
2	6556756	6556767	#ca00ff	1.0	Deferred Post-Task Execution	13					6922
2	6556818	6556835	#ca00ff	1.0	Deferred Post-Task Execution	14					6923
2	6556886	6556898	#ca00ff	1.0	Deferred Post-Task Execution	15					6924
2	6556948	6556959	#ca00ff	1.0	Deferred Post-Task Execution	16					68190
2	6557048	6557063	#ca00ff	1.0	Deferred Post-Task Execution	17					54782
2	6557117	6557129	#ca00ff	1.0	Deferred Post-Task Execution	18					71635
2	6557179	6557190	#ca00ff	1.0	Deferred Post-Task Execution	19					6926
2	6557239	6557251	#ca00ff	1.0	Deferred Post-Task Execution	20					6928
2	6557300	6557311	#ca00ff	1.0	Deferred Post-Task Execution	21					6930
2	6557359	6557371	#ca00ff	1.0	Deferred Post-Task Execution	22					6931
2	6557419	6557431	#ca00ff	1.0	Deferred Post-Task Execution	23					6933
2	6557478	6557490	#ca00ff	1.0	Deferred Post-Task Execution	24					6935
2	6557547	6557559	#ca00ff	1.0	Deferred Post-Task Execution	25					6937
2	6557609	6557624	#ca00ff	1.0	Deferred Post-Task Execution	26					6939
2	6557674	6557988	#ff1100	1.0	Task Physical Dependence Analysis	4					54783
1	6557704	6557811	#ff00b9	1.0	Mapper Call map_task for 4	4					48334
2	6558062	6558121	#333399	1.0	Deferred Ready Trigger	5					6941
2	6558181	6558282	#be00ff	1.0	Scheduler	0					54784
2	6558347	6558759	#006600	1.0	Post-Task Execution	27					68191
2	6558822	6558846	#ca00ff	1.0	Deferred Post-Task Execution	27					6943
2	6558914	6558928	#ca00ff	1.0	Deferred Post-Task Execution	28					6945
2	6558980	6558992	#ca00ff	1.0	Deferred Post-Task Execution	29					6947
2	6559042	6559054	#ca00ff	1.0	Deferred Post-Task Execution	30					6948
2	6559103	6559114	#ca00ff	1.0	Deferred Post-Task Execution	31					6950
2	6559172	6559183	#ca00ff	1.0	Deferred Post-Task Execution	32					6951
2	6559231	6559242	#ca00ff	1.0	Deferred Post-Task Execution	33					6952
2	6559291	6559302	#ca00ff	1.0	Deferred Post-Task Execution	34					6954
2	6559350	6559362	#ca00ff	1.0	Deferred Post-Task Execution	35					6956
2	6559420	6559431	#ca00ff	1.0	Deferred Post-Task Execution	36					6958
2	6559479	6559491	#ca00ff	1.0	Deferred Post-Task Execution	37					6959
2	6559539	6559550	#ca00ff	1.0	Deferred Post-Task Execution	38					6960
2	6559598	6559609	#ca00ff	1.0	Deferred Post-Task Execution	39					6962
2	6559658	6559670	#ca00ff	1.0	Deferred Post-Task Execution	40					6963
2	6559719	6559731	#ca00ff	1.0	Deferred Post-Task Execution	41					6965
2	6559782	6559797	#ca00ff	1.0	Deferred Post-Task Execution	42					6967
2	6559853	6560114	#ff1100	1.0	Task Physical Dependence Analysis	5					68192
2	6560187	6560246	#333399	1.0	Deferred Ready Trigger	6					6968
2	6560304	6560402	#be00ff	1.0	Scheduler	0					68193
2	6560466	6560877	#006600	1.0	Post-Task Execution	43					6969
2	6560949	6560966	#ca00ff	1.0	Deferred Post-Task Execution	43					6970
2	6561019	6561032	#ca00ff	1.0	Deferred Post-Task Execution	44					6972
2	6561082	6561094	#ca00ff	1.0	Deferred Post-Task Execution	45					6974
2	6561144	6561156	#ca00ff	1.0	Deferred Post-Task Execution	46					6976
2	6561206	6561218	#ca00ff	1.0	Deferred Post-Task Execution	47					6978
2	6561268	6561279	#ca00ff	1.0	Deferred Post-Task Execution	48					6979
2	6561329	6561340	#ca00ff	1.0	Deferred Post-Task Execution	49					6981
2	6561390	6561402	#ca00ff	1.0	Deferred Post-Task Execution	50					6983
2	6561450	6561462	#ca00ff	1.0	Deferred Post-Task Execution	51					6984
2	6561509	6561521	#ca00ff	1.0	Deferred Post-Task Execution	52					6986
2	6561569	6561580	#ca00ff	1.0	Deferred Post-Task Execution	53					6987
2	6561635	6561646	#ca00ff	1.0	Deferred Post-Task Execution	54					6989
2	6561695	6561706	#ca00ff	1.0	Deferred Post-Task Execution	55					6990
2	6561754	6561765	#ca00ff	1.0	Deferred Post-Task Execution	56					6991
2	6561814	6561830	#ca00ff	1.0	Deferred Post-Task Execution	57					6993
2	6561893	6561911	#ca00ff	1.0	Deferred Post-Task Execution	58					6995
2	6561960	6562137	#ff1100	1.0	Task Physical Dependence Analysis	6					54785
2	6562211	6562619	#006600	1.0	Post-Task Execution	59					68194
2	6562688	6562704	#ca00ff	1.0	Deferred Post-Task Execution	59					68195
2	6562789	6562804	#ca00ff	1.0	Deferred Post-Task Execution	60					6997
2	6562863	6562876	#ca00ff	1.0	Deferred Post-Task Execution	61					6998
2	6562926	6562938	#ca00ff	1.0	Deferred Post-Task Execution	62					6999
2	6562987	6562998	#ca00ff	1.0	Deferred Post-Task Execution	63					7001
2	6563047	6563058	#ca00ff	1.0	Deferred Post-Task Execution	64					7003
2	6563106	6563118	#ca00ff	1.0	Deferred Post-Task Execution	65					7005
2	6563166	6563177	#ca00ff	1.0	Deferred Post-Task Execution	66					7006
2	6563225	6563237	#ca00ff	1.0	Deferred Post-Task Execution	67					7008
2	6563285	6563296	#ca00ff	1.0	Deferred Post-Task Execution	68					7010
2	6563343	6563355	#ca00ff	1.0	Deferred Post-Task Execution	69					7011
2	6563403	6563414	#ca00ff	1.0	Deferred Post-Task Execution	70					7013
2	6563462	6563473	#ca00ff	1.0	Deferred Post-Task Execution	71					7014
2	6563521	6563532	#ca00ff	1.0	Deferred Post-Task Execution	72					7016
2	6563588	6563599	#ca00ff	1.0	Deferred Post-Task Execution	73					7018
2	6563649	6563665	#ca00ff	1.0	Deferred Post-Task Execution	74					7020
2	6563716	6564133	#006600	1.0	Post-Task Execution	75					7022
2	6564197	6564213	#ca00ff	1.0	Deferred Post-Task Execution	75					7023
2	6564268	6564280	#ca00ff	1.0	Deferred Post-Task Execution	76					7024
2	6564330	6564343	#ca00ff	1.0	Deferred Post-Task Execution	77					7026
2	6564401	6564413	#ca00ff	1.0	Deferred Post-Task Execution	78					7027
2	6564469	6564481	#ca00ff	1.0	Deferred Post-Task Execution	79					7028
2	6564531	6564542	#ca00ff	1.0	Deferred Post-Task Execution	80					7030
2	6564590	6564602	#ca00ff	1.0	Deferred Post-Task Execution	81					7032
2	6564650	6564662	#ca00ff	1.0	Deferred Post-Task Execution	82					7033
2	6564710	6564721	#ca00ff	1.0	Deferred Post-Task Execution	83					7035
2	6564768	6564780	#ca00ff	1.0	Deferred Post-Task Execution	84					7037
2	6564832	6564845	#ca00ff	1.0	Deferred Post-Task Execution	85					7039
2	6564894	6564905	#ca00ff	1.0	Deferred Post-Task Execution	86					7040
2	6564954	6564965	#ca00ff	1.0	Deferred Post-Task Execution	87					7042
2	6565013	6565025	#ca00ff	1.0	Deferred Post-Task Execution	88					71636
2	6565079	6565090	#ca00ff	1.0	Deferred Post-Task Execution	89					7044
2	6565141	6565157	#ca00ff	1.0	Deferred Post-Task Execution	90					7046
2	6565207	6565612	#006600	1.0	Post-Task Execution	91					7048
2	6565683	6565699	#ca00ff	1.0	Deferred Post-Task Execution	91					7049
2	6565753	6565765	#ca00ff	1.0	Deferred Post-Task Execution	92					7051
2	6565829	6565841	#ca00ff	1.0	Deferred Post-Task Execution	93					7053
2	6565900	6565912	#ca00ff	1.0	Deferred Post-Task Execution	94					7055
2	6565963	6565975	#ca00ff	1.0	Deferred Post-Task Execution	95					7057
2	6566031	6566043	#ca00ff	1.0	Deferred Post-Task Execution	96					7059
2	6566101	6566113	#ca00ff	1.0	Deferred Post-Task Execution	97					7060
2	6566163	6566175	#ca00ff	1.0	Deferred Post-Task Execution	98					7062
2	6566223	6566235	#ca00ff	1.0	Deferred Post-Task Execution	99					7064
2	6566283	6566295	#ca00ff	1.0	Deferred Post-Task Execution	100					7065
2	6566343	6566354	#ca00ff	1.0	Deferred Post-Task Execution	101					7067
2	6566403	6566414	#ca00ff	1.0	Deferred Post-Task Execution	102					7069
