level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
1	5064719	5064813	#FFC0CB	1.0	ProfTask <3>						69267
1	5065177	5065189	#FFC0CB	1.0	ProfTask <4>						69269
1	5067406	5067439	#FFC0CB	1.0	ProfTask <5>						69271
1	5103922	5104009	#FFC0CB	1.0	ProfTask <11>						69273
1	5104334	5104435	#007eff	1.0	hit <15>						7
1	5104740	5104774	#FFC0CB	1.0	ProfTask <16>						69275
1	5104843	5104867	#007eff	1.0	hit <19>						48336
1	5104958	5104977	#007eff	1.0	hit <20>						48337
1	5105099	5105118	#007eff	1.0	hit <21>						48338
1	5105235	5105254	#007eff	1.0	hit <22>						11
1	5105370	5105388	#007eff	1.0	hit <23>						48339
1	5105504	5105523	#007eff	1.0	hit <24>						48340
1	5105639	5105657	#007eff	1.0	hit <25>						48341
1	5105767	5105785	#007eff	1.0	hit <26>						48342
1	5105905	5105924	#007eff	1.0	hit <27>						48343
1	5106044	5106062	#007eff	1.0	hit <28>						48344
1	5106175	5106193	#007eff	1.0	hit <29>						48345
1	5106310	5106328	#007eff	1.0	hit <30>						13
1	5106443	5106463	#007eff	1.0	hit <31>						48346
1	5106570	5106588	#007eff	1.0	hit <32>						15
1	5106701	5106720	#007eff	1.0	hit <33>						17
1	5106837	5106855	#007eff	1.0	hit <34>						48347
1	5106973	5106992	#007eff	1.0	hit <35>						48348
1	5107112	5107130	#007eff	1.0	hit <36>						48349
1	5107246	5107264	#007eff	1.0	hit <37>						19
1	5107382	5107401	#007eff	1.0	hit <38>						21
1	5107511	5107529	#007eff	1.0	hit <39>						48350
1	5107642	5107661	#007eff	1.0	hit <40>						23
1	5107775	5107793	#007eff	1.0	hit <41>						48351
1	5107914	5107933	#007eff	1.0	hit <42>						48352
1	5108048	5108066	#007eff	1.0	hit <43>						25
1	5108183	5108202	#007eff	1.0	hit <44>						48353
1	5108309	5108327	#007eff	1.0	hit <45>						48354
1	5108442	5108461	#007eff	1.0	hit <46>						48355
1	5108575	5108593	#007eff	1.0	hit <47>						48356
1	5108735	5108754	#007eff	1.0	hit <48>						27
1	5108879	5108898	#007eff	1.0	hit <49>						48357
1	5109015	5109034	#007eff	1.0	hit <50>						48358
1	5109151	5109170	#007eff	1.0	hit <51>						29
1	5109280	5109298	#007eff	1.0	hit <52>						48359
1	5109412	5109430	#007eff	1.0	hit <53>						31
1	5109546	5109564	#007eff	1.0	hit <54>						48360
1	5109679	5109697	#007eff	1.0	hit <55>						33
